iter	Passed	Remaining
766	22210	6747
767	22244	6719
768	22275	6691
769	22306	6663
770	22337	6634
771	22369	6606
772	22402	6578
773	22435	6551
774	22466	6522
775	22490	6492
776	22529	6465
777	22572	6441
778	22613	6415
779	22631	6383
780	22666	6355
781	22695	6326
782	22738	6301
783	22769	6273
784	22808	6246
785	22846	6220
786	22880	6192
787	22915	6165
788	22954	6138
789	22992	6112
790	23030	6085
791	23069	6058
792	23112	6033
793	23156	6007
794	23193	5980
795	23231	5953
796	23274	5928
797	23314	5901
798	23355	5875
799	23393	5848
800	23435	5822
801	23474	5795
802	23515	5769
803	23560	5743
804	23591	5714
805	23628	5687
806	23649	5655
807	23679	5626
808	23709	5597
809	23739	5568
810	23770	5539
811	23800	5510
812	23824	5479
813	23853	5450
814	23884	5421
815	23915	5392
816	23945	5363
817	23978	5335
818	24009	5306
819	24040	5277
820	24070	5247
821	24099	5218
822	24129	5189
823	24160	5160
824	24192	5131
825	24223	5102
826	24253	5073
827	24283	5044
828	24313	5015
829	24342	4985
830	24372	4956
831	24388	4924
832	24420	4895
833	24450	4866
834	24480	4837
835	24509	4808
836	24541	4779
837	24572	4750
838	24603	4721
839	24633	4692
840	24664	4663
841	24684	4632
842	24714	4602
843	24746	4573
844	24777	4544
845	24806	4515
846	24835	4486
847	24865	4456
848	24889	4426
849	24919	4397
850	24951	4368
851	24981	4339
852	25011	4310
853	25042	4281
854	25075	4252
855	25109	4223
856	25143	4195
857	25176	4166
858	25207	4137
859	25238	4108
860	25270	4079
861	25301	4050
862	25332	4021
863	25367	3992
864	25400	3964
865	25432	3935
866	25462	3906
867	25495	3877
868	25521	3847
869	25551	3818
870	25569	3786
871	25600	3757
872	25631	3728
873	25662	3699
874	25696	3670
875	25727	3641
876	25758	3612
877	25788	3583
878	25818	3554
879	25849	3524
880	25881	3495
881	25914	3466
882	25945	3437
883	25975	3408
884	26004	3379
885	26029	3349
886	26059	3319
887	26090	3290
888	26125	3261
889	26150	3232
890	26181	3202
891	26211	3173
892	26243	3144
893	26273	3115
894	26304	3085
895	26332	3056
896	26362	3027
897	26392	2997
898	26427	2969
899	26464	2940
900	26496	2911
